gene,f_score,p_value
242944_at,1.1217371967929024,0.34932157738991815
1554648_a_at,1.1216582238691588,0.3493585994796441
221512_at,1.1213352926908544,0.349510021406614
1561471_at,1.1211226675282717,0.34960975040528264
1564907_s_at,1.1210663330526653,0.34963617725126794
1564200_at,1.121040273268352,0.34964840260924546
1569583_at,1.1210311365470453,0.34965268897825347
206777_s_at,1.1209259687238462,0.3497020301408451
211239_s_at,1.1208514126296836,0.34973701278133346
207758_at,1.1207496121190745,0.3497847834734391
1570050_at,1.1207184582118073,0.3497994037593635
1561128_at,1.1207006798538053,0.34980774722883395
208481_at,1.1206422378422725,0.3498351754978076
234568_at,1.120617585845473,0.34984674581322656
220017_x_at,1.1205369912367773,0.3498845747582878
215499_at,1.1205369056479266,0.34988461493317846
1569407_at,1.1203409848308876,0.34997658890016947
1552555_at,1.1202287338066497,0.3500292934681664
240998_at,1.120047287881426,0.3501145004752444
230284_at,1.120010055735486,0.3501319867936917
224031_at,1.119875007929134,0.350195418879119
211789_s_at,1.1195014613382082,0.3503709231432808
214593_at,1.1193008097248307,0.3504652255180072
237751_x_at,1.118823901095115,0.3506894468231175
231541_s_at,1.118432916778077,0.3508733580015142
1570516_s_at,1.1182406991730944,0.35096380227594115
237735_at,1.1182349900499058,0.35096648888541887
243719_at,1.118094401348272,0.35103265268583206
